,sname,dname,cname,enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
2266,Westview High,Poway Unified,San Diego,596,212,28.0,29.0,28.0,27.0,193.0,91.04
2267,Wheatland Union High,Wheatland Union High,Yuba,166,18,23.0,21.0,21.0,22.0,10.0,55.56
2270,Whitney (Gretchen) High,ABC Unified,Los Angeles,165,55,31.0,31.0,30.0,29.0,54.0,98.18
2271,Whitney High,Rocklin Unified,Placer,458,112,26.0,25.0,25.0,25.0,98.0,87.5
2272,Whittier High,Whittier Union High,Los Angeles,432,60,18.0,18.0,19.0,18.0,16.0,26.67
2273,Will C. Wood High,Vacaville Unified,Solano,329,30,24.0,23.0,24.0,23.0,23.0,76.67
2275,William C. Overfelt High,East Side Union High,Santa Clara,339,106,17.0,16.0,18.0,18.0,20.0,18.87
2276,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668,52,20.0,18.0,19.0,19.0,21.0,40.38
2277,William S. Hart High,William S. Hart Union High,Los Angeles,540,110,26.0,25.0,24.0,24.0,91.0,82.73
2281,Willow Glen High,San Jose Unified,Santa Clara,407,55,26.0,25.0,24.0,25.0,42.0,76.36
2283,Wilmer Amina Carter High,Rialto Unified,San Bernardino,583,34,18.0,18.0,18.0,18.0,10.0,29.41
2285,Wilson High,Long Beach Unified,Los Angeles,818,75,24.0,23.0,22.0,22.0,47.0,62.67
2286,Windsor High,Windsor Unified,Sonoma,394,116,23.0,22.0,21.0,22.0,70.0,60.34
2288,Wonderful College Prep Academy,Kern County Office of Education,Kern,128,126,18.0,18.0,18.0,18.0,35.0,27.78
2289,Woodbridge High,Irvine Unified,Orange,616,174,27.0,27.0,27.0,26.0,153.0,87.93
2290,Woodcreek High,Roseville Joint Union High,Placer,537,132,25.0,24.0,24.0,25.0,110.0,83.33
2291,Woodlake High,Woodlake Unified,Tulare,151,30,18.0,18.0,19.0,18.0,8.0,26.67
2292,Woodland Senior High,Woodland Joint Unified,Yolo,343,59,19.0,18.0,18.0,19.0,22.0,37.29
2293,Woodrow Wilson Senior High,Los Angeles Unified,Los Angeles,317,68,18.0,17.0,17.0,18.0,11.0,16.18
2294,Woodside High,Sequoia Union High,San Mateo,441,106,24.0,23.0,23.0,23.0,75.0,70.75
2296,Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,271,18,23.0,21.0,22.0,22.0,9.0,50.0
2297,Yorba Linda High,Placentia-Yorba Linda Unified,Orange,448,104,25.0,24.0,25.0,24.0,83.0,79.81
2298,Yosemite High,Yosemite Unified,Madera,135,33,22.0,21.0,22.0,22.0,19.0,57.58
2301,Yreka High,Yreka Union High,Siskiyou,138,38,23.0,20.0,21.0,21.0,20.0,52.63
2302,Yuba City High,Yuba City Unified,Sutter,394,56,23.0,21.0,22.0,22.0,35.0,62.5
2305,Yucaipa High,Yucaipa-Calimesa Joint Unified,San Bernardino,628,61,24.0,22.0,22.0,22.0,40.0,65.57
